name,long,lat,id,label
Dunkin Donuts Aberdeen N... (sample),-74.222391,40.396186,1103,Dunkin Donuts Aberdeen N... (sample)
Dunkin Donuts Aberdeen NJ ... (sample),-74.211986,40.421872,1104,Dunkin Donuts Aberdeen NJ ... (sample)
Dunkin Donuts Abingto... (sample),-75.115906,40.131698,1106,Dunkin Donuts Abingto... (sample)
Dunkin Donuts Abseco... (sample),-74.510009,39.432019,1107,Dunkin Donuts Abseco... (sample)
Dunkin Donuts Absecon N... (sample),-74.504146,39.427069,1108,Dunkin Donuts Absecon N... (sample)
Dunkin Donuts Albertso... (sample),-73.649104,40.772684,1102,Dunkin Donuts Albertso... (sample)
Dunkin Donuts Allendal... (sample),-74.126983,41.030149,1109,Dunkin Donuts Allendal... (sample)
Dunkin Donuts Amble... (sample),-75.243519,40.139708,1110,Dunkin Donuts Amble... (sample)
Dunkin Donuts Ambler P... (sample),-75.185916,40.211826,1111,Dunkin Donuts Ambler P... (sample)
Dunkin Donuts Ambler PA ... (sample),-75.215929,40.158433,1112,Dunkin Donuts Ambler PA ... (sample)
Dunkin Donuts Amityvill... (sample),-73.418048,40.683954,1101,Dunkin Donuts Amityvill... (sample)
Dunkin Donuts Andove... (sample),-74.721783,40.935775,1113,Dunkin Donuts Andove... (sample)
Dunkin Donuts Ansoni... (sample),-73.083706,41.333827,1114,Dunkin Donuts Ansoni... (sample)
Dunkin Donuts Ardmor... (sample),-75.294367,40.009552,1115,Dunkin Donuts Ardmor... (sample)
Dunkin Donuts Ardsle... (sample),-73.845231,41.015423,1116,Dunkin Donuts Ardsle... (sample)
Dunkin Donuts Asbury Par... (sample),-74.013807,40.214801,1117,Dunkin Donuts Asbury Par... (sample)
Dunkin Donuts Asbury Park N... (sample),-74.00934,40.227242,1118,Dunkin Donuts Asbury Park N... (sample)
Dunkin Donuts Astori... (sample),-73.910277,40.775806,1119,Dunkin Donuts Astori... (sample)
Dunkin Donuts Astoria N... (sample),-73.917666,40.770387,1120,Dunkin Donuts Astoria N... (sample)
Dunkin Donuts Astoria NY ... (sample),-73.907901,40.769047,1121,Dunkin Donuts Astoria NY ... (sample)
Dunkin Donuts Astoria NY ... (sample),-73.921235,40.766831,1122,Dunkin Donuts Astoria NY ... (sample)
Dunkin Donuts Astoria NY ... (sample),-73.903832,40.771269,1123,Dunkin Donuts Astoria NY ... (sample)
Dunkin Donuts Astoria NY ... (sample),-73.928207,40.763308,1124,Dunkin Donuts Astoria NY ... (sample)
Dunkin Donuts Astoria NY ... (sample),-73.907346,40.773761,1125,Dunkin Donuts Astoria NY ... (sample)
Dunkin Donuts Astoria NY ... (sample),-73.919907,40.757882,1126,Dunkin Donuts Astoria NY ... (sample)
Dunkin Donuts Astoria NY ... (sample),-73.910951,40.768802,1127,Dunkin Donuts Astoria NY ... (sample)
Dunkin Donuts Atc... (sample),-74.899548,39.770772,1128,Dunkin Donuts Atc... (sample)
Dunkin Donuts Atlantic Cit... (sample),-74.448111,39.354017,1129,Dunkin Donuts Atlantic Cit... (sample)
Dunkin Donuts Atlantic City N... (sample),-74.43331,39.359989,1130,Dunkin Donuts Atlantic City N... (sample)
